iter	RMSE
0	1.686067748
1	1.660069465
2	1.628158697
3	1.601460451
4	1.571867356
5	1.543322416
6	1.518898747
7	1.491901689
8	1.462044385
9	1.437887944
10	1.409801848
11	1.382978679
12	1.358852972
13	1.341859288
14	1.318693909
15	1.296107789
16	1.27832423
17	1.259071305
18	1.240880448
19	1.220990291
20	1.199312745
21	1.183790186
22	1.166824584
23	1.147433928
24	1.130389704
25	1.115637971
26	1.101312517
27	1.087267503
28	1.073112381
29	1.058575788
30	1.04139481
31	1.026947117
32	1.01244945
33	0.9983618218
34	0.9839676594
35	0.9719358982
36	0.960346246
37	0.9471627138
38	0.9349100184
39	0.9223035945
40	0.910797423
41	0.8982443978
42	0.8867570137
43	0.8766354251
44	0.8674530981
45	0.8568793462
46	0.8455713147
47	0.8359932463
48	0.8259017669
49	0.8139222975
50	0.8052986146
51	0.7967922522
52	0.7886187968
53	0.7766982715
54	0.7692812859
55	0.7627724021
56	0.7547300178
57	0.7457866327
58	0.7385571193
59	0.7318556761
60	0.7244274313
61	0.7170250623
62	0.7104498987
63	0.7019947167
64	0.6967776473
65	0.6898848415
66	0.6860399729
67	0.6788957964
68	0.671324206
69	0.6635349681
70	0.6574662047
71	0.6525613077
72	0.6461940947
73	0.640940408
74	0.6364823815
75	0.6312814517
76	0.627322091
77	0.6218922943
78	0.6149754577
79	0.6112334524
80	0.6060576387
81	0.6003217543
82	0.5972204287
83	0.5904595294
84	0.5870656781
85	0.582980331
86	0.5791238713
87	0.5741668321
88	0.5694949459
89	0.5656022315
90	0.561306739
91	0.5577806645
92	0.5550098108
93	0.5500540703
94	0.5450296661
95	0.5393394428
96	0.5351226049
97	0.5303842273
98	0.5282571301
99	0.5239501887
100	0.5202167319
101	0.5149182316
102	0.5107451607
103	0.5081892527
104	0.5063048296
105	0.5045398465
106	0.5024720055
107	0.4999314001
108	0.4972655089
109	0.4932856983
110	0.490717157
111	0.4892763728
112	0.4853573555
113	0.4823901966
114	0.477520191
115	0.4737440963
116	0.4717124909
117	0.469558891
118	0.4674814548
119	0.464504851
120	0.4619074207
121	0.4594376636
122	0.4568342295
123	0.4527606134
124	0.4508058331
125	0.4483921728
126	0.4463483967
127	0.4433261759
128	0.4416350852
129	0.4375506928
130	0.434980638
131	0.4326116661
132	0.4300845759
133	0.4285760576
134	0.4249336538
135	0.423410493
136	0.4204337516
137	0.4180359874
138	0.4163141402
139	0.4149856013
140	0.4125967616
141	0.4106342789
142	0.4090937862
143	0.4055021558
144	0.4032820469
145	0.3996148975
146	0.3985432072
147	0.3967492238
148	0.3933939352
149	0.3912173131
150	0.3896894449
151	0.3872921812
152	0.385948633
153	0.3848661274
154	0.3815835722
155	0.3794475629
156	0.3777282682
157	0.3761134632
158	0.3753675464
159	0.3732949866
160	0.3721685761
161	0.3706680259
162	0.3686511336
163	0.3673470022
164	0.3660813739
165	0.3638934858
166	0.3629657059
167	0.3615975602
168	0.3601085679
169	0.3594214347
170	0.3582093207
171	0.3557786089
172	0.3546657736
173	0.3519262445
174	0.3507775554
175	0.3484302525
176	0.3474083394
177	0.3461504479
178	0.3446959978
179	0.3429737677
180	0.3423478493
181	0.3416813094
182	0.3409550499
183	0.3400466088
184	0.339230706
185	0.3381955197
186	0.3362516174
187	0.3349412711
188	0.3325899152
189	0.3308520521
190	0.3297968052
191	0.3288177838
192	0.3281053807
193	0.3268709641
194	0.3254501267
195	0.32475028
196	0.3230441415
197	0.3221276173
198	0.3213348048
199	0.3209691461
200	0.3197610521
201	0.3177003288
202	0.3172328781
203	0.3166052978
204	0.3156801787
205	0.3135681225
206	0.3128826907
207	0.3124832573
208	0.3116976016
209	0.3097162528
210	0.3087409274
211	0.3076938725
212	0.3057249227
213	0.3040627894
214	0.3036672491
215	0.3033053842
216	0.3011889244
217	0.3002442265
218	0.2989752286
219	0.2984799746
220	0.2977540465
221	0.2974620764
222	0.2971450655
223	0.2959182162
224	0.2939643994
225	0.2925133513
226	0.2906508861
227	0.2901618318
228	0.289846119
229	0.2877972806
230	0.2874623934
231	0.2856648915
232	0.2845427479
233	0.2842606599
234	0.2826630607
235	0.282389213
236	0.280545385
237	0.2788354792
238	0.2774852375
239	0.2772269992
240	0.2755162653
241	0.274661627
242	0.2744137323
243	0.2726110715
244	0.2710282263
245	0.2705530397
246	0.270055683
247	0.2698059821
248	0.2685941825
249	0.2677537833
250	0.2675282358
251	0.266327022
252	0.26474443
253	0.2632966093
254	0.2616449459
255	0.2610387113
256	0.260146751
257	0.2590554649
258	0.258872035
259	0.257923464
260	0.2571408295
261	0.2569371416
262	0.2556518627
263	0.2548923783
264	0.2536125729
265	0.252565566
266	0.2515141854
267	0.2502665328
268	0.2486702804
269	0.24843659
270	0.2480154349
271	0.246507764
272	0.2457113661
273	0.24555788
274	0.2451050973
275	0.244842687
276	0.2437043709
277	0.2430748581
278	0.2417641786
279	0.2400402811
280	0.2398766269
281	0.2397322183
282	0.239591014
283	0.2393977359
284	0.239180809
285	0.2389808843
286	0.2387422178
287	0.237824299
288	0.2366084773
289	0.2363095447
290	0.2353923579
291	0.2343703128
292	0.2342466424
293	0.2334844603
294	0.2327173872
295	0.2325849567
296	0.2324008319
297	0.2317074646
298	0.2308144375
299	0.2306879766
300	0.2305016009
301	0.2294594614
302	0.229289728
303	0.2281961756
304	0.2275010586
305	0.2268104417
306	0.2262637762
307	0.2261453357
308	0.2259655325
309	0.2258352193
310	0.22572346
311	0.2255769591
312	0.2254627457
313	0.2245891456
314	0.2244581772
315	0.2243244727
316	0.2240109887
317	0.2239050369
318	0.2230791796
319	0.2224321785
320	0.2222767962
321	0.2221769017
322	0.2216882865
323	0.220673287
324	0.2204717431
325	0.2191540621
326	0.2183448964
327	0.2179701418
328	0.2171402937
329	0.2170032819
330	0.2162061587
331	0.2154284105
332	0.2147737301
333	0.2136200687
334	0.2127356921
335	0.2119117329
336	0.2118119289
337	0.2116806703
338	0.2109492189
339	0.2106063402
340	0.2099451299
341	0.2086396844
342	0.207620394
343	0.2073851007
344	0.2070990051
345	0.2061246244
346	0.2058280925
347	0.204673148
348	0.204568865
349	0.2041930235
350	0.2037909866
351	0.203277388
352	0.2028502236
353	0.2027626727
354	0.2015725869
355	0.2006942206
356	0.1997741588
357	0.1991875375
358	0.1981667252
359	0.1980958162
360	0.1980186163
361	0.1979059272
362	0.197827592
363	0.1968647188
364	0.1956938014
365	0.1955925641
366	0.1946539094
367	0.1937267834
368	0.1930944857
369	0.1922842558
370	0.191594145
371	0.1904555836
372	0.1898662378
373	0.1896005658
374	0.188719948
375	0.1882864373
376	0.1879374442
377	0.1876715404
378	0.1871723858
379	0.1866671169
380	0.1859823495
381	0.1853935002
382	0.185321531
383	0.1848664212
384	0.1846019245
385	0.1843799087
386	0.1839779641
387	0.1836273734
388	0.1831942028
389	0.182377154
390	0.1818380149
391	0.1812113382
392	0.1804449499
393	0.1796810027
394	0.1794753434
395	0.178931777
396	0.1781830822
397	0.1777466443
398	0.1771654366
399	0.1770998936
400	0.1770358656
401	0.1767209704
402	0.1762221105
403	0.1757362041
404	0.1751820251
405	0.1744939025
406	0.1739986234
407	0.1736640343
408	0.1734658727
409	0.1727676053
410	0.1721933166
411	0.1719980762
412	0.171886911
413	0.1715036024
414	0.1714433212
415	0.1713462956
416	0.1707025051
417	0.170395446
418	0.1698633837
419	0.1692018481
420	0.1687744006
421	0.1683086163
422	0.1680055255
423	0.1673688876
424	0.1672988107
425	0.166805201
426	0.1667574139
427	0.1666875924
428	0.166644983
429	0.1666047348
430	0.1663471841
431	0.1662537551
432	0.1662014788
433	0.165718748
434	0.1654431005
435	0.1651499695
436	0.1650974322
437	0.1650327543
438	0.1647891572
439	0.1642716056
440	0.1642168441
441	0.1641672669
442	0.1636084916
443	0.1630340965
444	0.1626006014
445	0.1624426753
446	0.1618793821
447	0.1615312282
448	0.1612469011
449	0.1609690027
450	0.1609197052
451	0.1606414834
452	0.1603468136
453	0.1599290043
454	0.1595143326
455	0.1592171177
456	0.1586225735
457	0.1582470497
458	0.1581252445
459	0.1578320776
460	0.157333647
461	0.156945238
462	0.1565669272
463	0.1564801531
464	0.1562502882
465	0.155583138
466	0.155527358
467	0.1551591188
468	0.1546780298
469	0.1544984921
470	0.1540239892
471	0.1534233519
472	0.1531716998
473	0.1524567797
474	0.1518982257
475	0.1515882189
476	0.1515329245
477	0.1512891798
478	0.1509961087
479	0.1507325538
480	0.1502633508
481	0.1498538669
482	0.1490921269
483	0.1489915204
484	0.1486252041
485	0.1483218438
486	0.1479545717
487	0.1476178468
488	0.1475853945
489	0.1473491114
490	0.1468923142
491	0.1467425197
492	0.1463190644
493	0.1460165788
494	0.1455912161
495	0.1451396021
496	0.1447794041
497	0.1444912596
498	0.1441906292
499	0.1439837025
500	0.1436947944
501	0.1430822741
502	0.142884112
503	0.1425404068
504	0.1421398389
505	0.1417770985
506	0.1414346263
507	0.141120388
508	0.1408615212
509	0.140706769
510	0.1405300351
511	0.140177305
512	0.1401031239
513	0.1399380528
514	0.1392936042
515	0.1391191584
516	0.139092601
517	0.1389666649
518	0.138650151
519	0.1381908561
520	0.1378919671
521	0.1374690072
522	0.1370197376
523	0.1369111204
524	0.1366035476
525	0.1364200755
526	0.136231909
527	0.1357430049
528	0.1356915454
529	0.1353562952
530	0.1353256709
531	0.1350308816
532	0.1344677826
533	0.1342295598
534	0.1341691796
535	0.1340649476
536	0.1337978566
537	0.1333948498
538	0.1331542381
539	0.1329281739
540	0.1325046516
541	0.132398278
542	0.1320971874
543	0.1317841337
544	0.1313411306
545	0.1310214332
546	0.1309704569
547	0.1308975978
548	0.1307077255
549	0.1304691565
550	0.1302927365
551	0.1300272317
552	0.1298217964
553	0.1294008049
554	0.1291948706
555	0.128736914
556	0.128689158
557	0.1284220543
558	0.1282268634
559	0.1281859089
560	0.1278954079
561	0.1278714452
562	0.1276429825
563	0.1272937153
564	0.1271234235
565	0.1268405318
566	0.1266500227
567	0.1263560386
568	0.1260173157
569	0.1257441921
570	0.1253653076
571	0.1251349326
572	0.1248841082
573	0.1248607041
574	0.1246670052
575	0.1243750819
576	0.1241575174
577	0.1241162512
578	0.1238199061
579	0.1236253995
580	0.1233377743
581	0.1230350631
582	0.122701795
583	0.1224157167
584	0.122051975
585	0.1220336895
586	0.1216868244
587	0.1214307811
588	0.1213835932
589	0.1211696753
590	0.1211091451
591	0.1208719624
592	0.1208144235
593	0.120594687
594	0.1203147369
595	0.1200426694
596	0.1198056868
597	0.1196701703
598	0.1196199818
599	0.1194283813
600	0.1191848769
601	0.1189675494
602	0.1187386424
603	0.1185090282
604	0.1182486393
605	0.1180978117
606	0.1180599177
607	0.1180258527
608	0.117573298
609	0.1172338056
610	0.1170306426
611	0.1168941108
612	0.1168558173
613	0.1165654839
614	0.1163781695
615	0.1163122103
616	0.1162790355
617	0.1158958346
618	0.1156465368
619	0.1152142169
620	0.1151780769
621	0.1150702574
622	0.1148866855
623	0.1146514992
624	0.1144178165
625	0.1143776766
626	0.1142216282
627	0.1139624932
628	0.1136926228
629	0.1134784862
630	0.1132044056
631	0.1130581565
632	0.1128355197
633	0.1124842735
634	0.1124522988
635	0.1123475737
636	0.1122171486
637	0.111893929
638	0.1117284303
639	0.1116187857
640	0.1113851885
641	0.1110530277
642	0.1109906888
643	0.1107757059
644	0.1106248251
645	0.1104397977
646	0.1104148596
647	0.1101094184
648	0.1098917833
649	0.1095385609
650	0.109306401
651	0.1090895481
652	0.1089556072
653	0.1087784478
654	0.1085860497
655	0.108352625
656	0.108192766
657	0.1080272401
658	0.107924452
659	0.1077298321
660	0.1074043499
661	0.1073729805
662	0.1072986698
663	0.107127072
664	0.107101711
665	0.1070602559
666	0.106730148
667	0.1064560282
668	0.1063457587
669	0.1062430665
670	0.1061153884
671	0.1060859817
672	0.106066723
673	0.1057806901
674	0.1055783587
675	0.1055128796
676	0.1053614758
677	0.1052596843
678	0.1052227597
679	0.1051966212
680	0.1050612935
681	0.104867389
682	0.1048292596
683	0.1046186385
684	0.1044489236
685	0.1043227354
686	0.1043038801
687	0.1041786602
688	0.103925053
689	0.1036777456
690	0.1034767649
691	0.1033105832
692	0.1031706429
693	0.1029408947
694	0.102737927
695	0.1025612712
696	0.1023979567
697	0.1022297642
698	0.1020189766
699	0.1019598277
700	0.1018437333
701	0.101625531
702	0.1016003553
703	0.101522307
704	0.1014367527
705	0.1014058099
706	0.1012343335
707	0.1011466631
708	0.1010880691
709	0.1008847634
710	0.1006580093
711	0.10034925
712	0.100168055
713	0.1000566785
714	0.1000215555
715	0.09977355971
716	0.09975805062
717	0.09972776726
718	0.09944258818
719	0.09916593275
720	0.0990851824
721	0.09893060429
722	0.09883176609
723	0.09851898459
724	0.09828911679
725	0.09816431555
726	0.09799965857
727	0.09785808566
728	0.09753725969
729	0.09751141784
730	0.09724140688
731	0.09706659758
732	0.09691643062
733	0.0968523468
734	0.09661904734
735	0.09654136098
736	0.09648902523
737	0.09635025302
738	0.09606758377
739	0.09598313973
740	0.09568935308
741	0.09557506885
742	0.0954412747
743	0.09530955095
744	0.09521018322
745	0.09507526058
746	0.0949824761
747	0.09485318071
748	0.09480173376
749	0.09467161847
750	0.09451747449
751	0.09449971315
752	0.09446774773
753	0.09428855683
754	0.09403408876
755	0.09392202824
756	0.09375934543
757	0.09358394708
758	0.09339217556
759	0.09332978836
760	0.09319247927
761	0.09313730024
762	0.09285336488
763	0.09269073506
764	0.09243448527
765	0.09225461429
766	0.0920202149
767	0.09186109894
768	0.09174692764
769	0.09150070993
770	0.09132118965
771	0.09116378504
772	0.09104499647
773	0.09092726995
774	0.09067898832
775	0.09056437607
776	0.09037758325
777	0.09032714712
778	0.09010710689
779	0.08999132285
780	0.08983143125
781	0.08973551248
782	0.08958917113
783	0.08941469811
784	0.08929121858
785	0.08916269163
786	0.08906696913
787	0.08905144048
788	0.08890155985
789	0.0888094247
790	0.08859601523
791	0.08850743686
792	0.08829355513
793	0.08813210703
794	0.08796220464
795	0.0879416838
796	0.0878175515
797	0.08769097355
798	0.08751002276
799	0.08742562061
800	0.08727712671
801	0.08726210183
802	0.087058506
803	0.08702245595
804	0.08693789443
805	0.08689625579
806	0.08681672142
807	0.08668103783
808	0.08647018214
809	0.08632469538
810	0.08626291909
