iter	Passed	Remaining
0	3	3088
1	5	2976
2	8	2938
3	11	2979
4	14	2944
5	17	2926
6	20	2897
7	23	2930
8	27	3017
9	30	3029
10	33	3023
11	36	3004
12	39	2983
13	42	2981
14	45	2969
15	48	2970
16	51	2973
17	54	2989
18	58	2995
19	60	2977
20	63	2971
21	66	2960
22	70	2981
23	73	2980
24	76	2966
25	78	2954
26	81	2944
27	84	2941
28	86	2912
29	89	2886
30	91	2860
31	93	2834
32	95	2809
33	99	2813
34	101	2806
35	104	2797
36	106	2782
37	109	2769
38	111	2756
39	114	2747
40	116	2731
41	119	2716
42	121	2699
43	124	2696
44	127	2704
45	131	2724
46	134	2736
47	137	2733
48	141	2737
49	144	2747
50	147	2753
51	152	2775
52	155	2786
53	159	2792
54	163	2807
55	166	2813
56	170	2823
57	174	2829
58	176	2820
59	179	2813
60	182	2809
61	185	2811
62	189	2817
63	192	2815
64	195	2812
65	198	2810
66	200	2798
67	203	2788
68	205	2779
69	208	2768
70	210	2759
71	213	2756
72	216	2745
73	218	2736
74	221	2726
75	223	2715
76	225	2703
77	228	2699
78	230	2690
79	233	2681
80	235	2671
81	237	2659
82	239	2650
83	242	2642
84	244	2631
85	246	2620
86	248	2612
87	251	2602
88	253	2591
89	255	2581
90	257	2575
91	260	2567
92	262	2559
93	264	2551
94	266	2541
95	269	2533
96	271	2528
97	273	2519
98	275	2510
99	278	2502
100	280	2496
101	282	2488
102	285	2482
103	287	2474
104	289	2467
105	291	2458
106	293	2449
107	296	2444
108	298	2438
109	300	2430
110	302	2422
111	304	2415
112	306	2408
113	308	2400
114	311	2395
115	313	2390
116	315	2383
117	317	2376
118	319	2368
119	322	2362
120	324	2355
121	327	2353
122	329	2346
123	331	2339
124	333	2332
125	335	2326
126	337	2321
127	339	2315
128	342	2312
129	344	2305
130	346	2299
131	348	2292
132	350	2287
133	352	2281
134	355	2275
135	357	2271
136	359	2265
137	361	2260
138	364	2255
139	366	2249
140	368	2243
141	371	2244
142	373	2239
143	375	2234
144	377	2227
145	379	2222
146	381	2216
147	384	2212
148	386	2208
149	389	2204
150	391	2199
151	393	2193
152	395	2188
153	397	2183
154	400	2181
155	402	2177
156	405	2174
157	407	2170
158	409	2165
159	411	2160
160	413	2156
161	415	2151
162	418	2147
163	420	2142
164	422	2137
165	424	2132
166	426	2128
167	428	2123
168	430	2118
169	432	2113
170	435	2108
171	437	2104
172	439	2098
173	441	2095
174	443	2090
175	445	2086
176	447	2081
177	449	2076
178	451	2072
179	454	2068
180	456	2064
181	458	2060
182	460	2055
183	462	2050
184	464	2046
185	466	2043
186	469	2039
187	471	2036
188	473	2032
189	475	2027
190	477	2023
191	479	2019
192	482	2015
193	484	2011
194	486	2007
195	488	2003
196	490	1998
197	492	1994
198	494	1990
199	496	1986
200	499	1985
201	501	1981
202	503	1977
203	505	1973
204	508	1970
205	510	1967
206	513	1967
